0103 02863 1|24331A|33856|rho A Ori|78.3228378|2.8612555|5|13|17.481072|+|2.0|51.0|40.5198|4.620|69
0104 03169 1|24817|34658|21 Ori|79.79673986|2.59580838|5|19|11.2175664|+|2.0|35.0|44.910168|5.375|999
0105 02800 1|25142|35149|23A Ori|80.70833914|3.54444725|5|22|50.0013936|+|3.0|32.0|40.0101|4.951|320
0105 02801 1|25473A|35715|psi A Ori|81.70927011|3.095646|5|26|50.2248264|+|3.0|5.0|44.3256|4.574|29
0107 03085 1|24450|||78.6835399|5.15614866|5|14|44.049576|+|5.0|9.0|22.135176|5.650|999
0115 02291 1|26762|||85.27331824|0.33775218|5|41|5.5963776|+|0.0|20.0|15.907848|5.949|999
0115 02299 1|26885|37984|51 Ori|85.61929695|1.47462815|5|42|28.631268|+|1.0|28.0|28.66134|5.030|999
0116 01329 1|27750|39400|56 Ori|88.11016412|1.85513956|5|52|26.4393888|+|1.0|51.0|18.502416|4.909|999
0117 01338 1|28271|40372|59 Ori|89.6018474|1.83711208|5|58|24.443376|+|1.0|50.0|13.603488|5.915|365
0117 01471 1|28296|40446|60 Ori|89.70655414|0.55297829|5|58|49.5729936|+|0.0|33.0|10.721844|5.202|999
0118 02925 1|25861A|36351|33A Ori|82.81059273|3.29220533|5|31|14.5422552|+|3.0|17.0|31.939188|5.707|19
0122 02409 1|26126|36777|38 Ori|83.56989621|3.76688998|5|34|16.7750904|+|3.0|46.0|0.803928000001|5.334|999
0123 02200 1|26594|37490|omega Ori|84.79644125|4.12146379|5|39|11.1459|+|4.0|7.0|17.269644|4.503|999
0126 01899 1|25813A|36267|32A Ori|82.69607778|5.94814616|5|30|47.0586672|+|5.0|56.0|53.326176|4.439|11
0126 01899 2|25813B|36267|32B Ori|82.69607778|5.94814616|5|30|47.0586672|+|5.0|56.0|53.326176|5.751|11
0128 01551 1|27386A|38710|52A Ori|87.00086899|6.45401463|5|48|0.208557599999|+|6.0|27.0|14.452668|5.986|12
0133 02047 1|30717|||96.80733367|0.29924217|6|27|13.7600808|+|0.0|17.0|57.271812|5.318|999
0135 01616 1|29151A|||92.24127155|2.4997014|6|8|57.905172|+|2.0|29.0|58.92504|5.680|293
0137 02119 1|30728|||96.83521256|2.90828947|6|27|20.4510144|+|2.0|54.0|29.842092|5.658|999
0138 00135 1|28812|41361|63 Ori|91.24243352|5.41997435|6|4|58.1840448|+|5.0|25.0|11.90766|5.774|999
0138 00963 1|28814|41380|66 Ori|91.24316135|4.15867168|6|4|58.358724|+|4.0|9.0|31.218048|5.735|999
0140 01840 1|29860|||94.31722478|5.10009523|6|17|16.1339472|+|5.0|6.0|0.342828|5.769|999
0141 02452 1|30419A|44769|epsilon A Mon|95.94203484|4.59286794|6|23|46.0883616|+|4.0|35.0|34.324584|4.423|124
0146 01678 1|31446|||98.81595177|0.89021858|6|35|15.8284248|+|0.0|53.0|24.786888|5.786|999
0147 02019 1|31992AB|||100.27267064|0.49531484|6|41|5.4409536|+|0.0|29.0|43.133424|5.750|999
0152 02580 1|32578|49293|18 Mon|101.96520108|2.41216003|6|47|51.6482592|+|2.0|24.0|43.776108|4.593|999
0154 02464 1|31159|46241|12 Mon|98.08001695|4.85600284|6|32|19.204068|+|4.0|51.0|21.610224|5.953|999
0155 00309 1|32226|||100.91102348|3.93253056|6|43|38.6456352|+|3.0|55.0|57.110016|5.858|999
0158 03394 1|31216|46300|13 Mon|98.22594981|7.33296586|6|32|54.2279544|+|7.0|19.0|58.677096|4.486|999
0164 02276 1|35712|||110.51449104|0.17712136|7|22|3.4778496|+|0.0|10.0|37.636896|5.959|790
0167 04147 1|34987|||108.58359346|3.11141805|7|14|20.0624304|+|3.0|6.0|41.10498|5.480|509
0175 04421 1|34387|||106.95620228|7.47121356|7|7|49.4885472|+|7.0|28.0|16.368816|5.870|999
0176 03592 1|35509|||109.94852444|7.14295319|7|19|47.6458656|+|7.0|8.0|34.631484|5.971|999
0177 02986 1|36265|58923|eta CMi|112.00864271|6.94197237|7|28|2.0742504|+|6.0|56.0|31.100532|5.255|999
0180 02565 1|38373|63975|zeta CMi|117.92494572|1.7668666|7|51|41.9869728|+|1.0|46.0|0.71976|5.092|999
