12706A,16970,gamma Cet,
12719,16908,35 Ari,
12770,17081,pi Cet,
12784,17017,36 Ari,
12803,17036,omicron Ari,
12828,17094,mu Cet,
12832,17093,38 Ari,
13061,17361,39 Ari,
13108,17459,40 Ari,
13165A,17543,pi A Ari,
13165B,17543,pi B Ari,
13209,17573,41 Ari,
13327,17769,sigma Ari,
13579,18091,44 Ari,
13654,18191,45 Ari,
13702,18256,rho Ari,
13834,18404,47 Ari,
13914B,18519,epsilon B Ari,
13914A,18520,epsilon A Ari,
13954,18604,lambda Cet,
14021A,18654,50 A Ari,
14021B,18654,50 B Ari,
14109,18769,49 Ari,
14135,18884,alpha Cet,
14143,18883,93 Cet,
14150,18803,51 Ari,
14376A,19134,52 A Ari,
14376B,19135,52 B Ari,
14514,19374,53 Ari,
14586,19460,54 Ari,
14677,19548,55 Ari,
14838,19787,delta Ari,
14954,19994,94 Cet,
15110,20150,zeta Ari,
15383A,20559,95A Cet,
15383B,20559,95B Cet,
15457,20630,kappa Cet,
15514,20618,59 Ari,
15547,19978,47 Cep,
15557,20663,60 Ari,
15619,20791,97 Cet,
15627B,20756,tau B Ari,
15627A,20756,tau A Ari,
15696,20825,62 Ari,
15737B,-,63B Ari,
15737A,20893,63A Ari,
15861,21017,64 Ari,
15870,21050,65 Ari,
16181A,21467,66A Ari,
16181B,21467,66B Ari,
17959,23401,gamma Cam,
21060,28873,delta Cae,
21148B,28446,1B Cam,
21148A,28446,1A Cam,
21727,29317,3 Cam,
21730C,29316,2C Cam,
21730A,29316,2A Cam,
21730B,29316,2B Cam,
21770,29875,alpha Cae,
21861,29992,beta Cae,
22280,30608,zeta Cae,
22287,30121,4 Cam,
22453,30504,1 Aur,
22488,30985,nu Cae,
22678,30834,2 Aur,
22783,30614,alpha Cam,
22854,30958,5 Cam,
22994,31189,6 Cam,
23015,31398,iota Aur,
23040B,31278,7B Cam,
23040A,31278,7A Cam,
23179A,31647,omega A Aur,
23179B,-,omega B Aur,
23216,31579,8 Cam,
23261B,31761,5B Aur,
23261A,31761,5A Aur,
23268,31780,6 Aur,
23416,31964,epsilon Aur,
23453,32068,zeta Aur,
23522,31910,beta Cam,
23595,23831,gamma B Cae,
23595,23831,gamma A Cae,
23734,32343,11 Cam,
23743,32357,12 Cam,
23767,32630,eta Aur,
23783,32537,9 Aur,
24340,33641,mu Aur,
24348,33296,14 Cam,
24504,33959,14 Aur,
24608,34029,alpha Aur,
24659,34642,omicron Col,
24727,34334,16 Aur,
24740,34364,17 Aur,
24813,34411,lambda Aur,
24832,34499,18 Aur,
24836,34233,15 Cam,
24879,34578,19 Aur,
25048,34759,rho Aur,
25192,35076,22 Aur,
25197,34787,16 Cam,
25292,35186,sigma Aur,
25541,35620,phi Aur,
25769,35583,17 Cam,
25859,36597,epsilon Col,
25973,36066,18 Cam,
25984,36371,chi Aur,
26408A,36570,19A Cam,
26408B,36570,19B Cam,
26412,37430,nu 1 Col,
26426,36770,20 Cam,
26460,37495,nu 2 Col,
26536C,37269,26C Aur,
26536B,37269,26B Aur,
26536A,37269,26A Aur,
26587,37070,22 Cam,
26634,37795,alpha Col,
26700,37136,21 Cam,
26942,37601,24 Cam,
27046,37638,23 Cam,
27196,38104,omicron Aur,
27204,38666,mu Col,
27249,38091,26 Cam,
27283,38129,28 Cam,
27458,38604,28 Aur,
27483,38656,tau Aur,
27592,38618,29 Cam,
27628,39425,beta Col,
27639,38944,upsilon Aur,
27673,39003,nu Aur,
27731,38831,30 Cam,
27810,39764,lambda Col,
27949,39283,xi Aur,
27971,39220,31 Cam,
28010,40176,xi Col,
28098,40248,sigma Col,
28199,40494,gamma Col,
28328,40808,eta Col,
28358,40035,delta Aur,
28360,40183,beta Aur,
28380,40312,theta Aur,
28404,40239,pi Aur,
28499,40394,36 Aur,
28677,40801,38 Aur,
28823,41074,39 Aur,
28946,41357,40 Aur,
28957,42078,pi 1 Col,
29034,42167,theta Col,
29064,42303,pi 2 Col,
29246,41597,37 Cam,
29315,41783,38 Cam,
29348,41782,39 Cam,
29388A,42127,41A Aur,
29388B,42126,41B Aur,
29490,41927,36 Cam,
29696,43039,kappa Aur,
29730,42633,40 Cam,
29807,43785,kappa Col,
29884,43244,42 Aur,
29949,43380,43 Aur,
30122,44402,zeta CMa,
30247,43905,45 Aur,
30277,44762,delta Col,
30324,44743,beta CMa,
30438,45348,alpha Car,
30520,44537,psi 1 Aur,
30788,45813,lambda CMa,
30827,45412,48 Aur,
30972,45466,47 Aur,
31125,46328,xi 1 CMa,
31416,46933,xi 2 CMa,
31434,46553,49 Aur,
31560,47138,nu 1 B CMa,
31564,47138,nu 1 A CMa,
31592,47205,nu 2 CMa,
31700A,47442,nu 3A CMa,
31737A,47152,53A Aur,
31771,47070,51 Aur,
31789,47100,psi 3 Aur,
31832,47174,psi 2 Aur,
31852A,47395,54A Aur,
31852B,47395,54B Aur,
31944,47005,41 Cam,
32173,47914,psi 4 Aur,
32292,48917,10 CMa,
32349,48915,alpha CMa,
32480,48682,psi 5 Aur,
32492,49229,11 CMa,
32504,49333,12 CMa,
32562,48781,psi 6 Aur,
32759,50013,kappa CMa,
32844,49520,psi 7 Aur,
32864,48879,42 Cam,
33041,50018,59 Aur,
33064A,50037,60A Aur,
33092,50707,15 CMa,
33104,49340,43 Cam,
33133,50204,psi 8 Aur,
33152,50877,omicron 1 CMa,
33160,50778,theta CMa,
33248,51055,17 CMa,
33302,51199,pi CMa,
33345B,51251,mu B CMa,
33345A,51250,mu A CMa,
33347,51309,iota CMa,
33377,50658,psi 9 Aur,
33579,52089,epsilon CMa,
33614,51440,62 Aur,
33856,52877,sigma CMa,
33977,53138,omicron 2 CMa,
34045,53244,gamma CMa,
34444,54605,delta CMa,
34752,54716,63 Aur,
34798,55522,26 CMa,
34981A,56014,27A CMa,
34981B,56014,27B CMa,
35037,56139,omega CMa,
35341,56221,64 Aur,
35412,57060,29 CMa,
35415,57061,tau CMa,
35710,57264,65 Aur,
35735B,56820,47B Cam,
35735A,56820,47A Cam,
35904,58350,eta CMa,
35907,57669,66 Aur,
35987,58187,1 CMi,
36041,58367,epsilon CMi,
36188,58715,beta CMi,
36265,58923,eta CMi,
36284,58972,gamma CMi,
36425,59294,6 CMi,
36641,59881,delta 1 CMi,
36723,60111,delta 2 CMi,
36812,60357,delta 3 CMi,
37279,61421,alpha CMi,
37921,62832,11 CMi,
37934,62140,49 Cam,
37949,62066,51 Cam,
38373,63975,zeta CMi,
38827,65575,chi Car,
38848,64960,1 Cnc,
38962,65345,14 CMi,
39177,65759,3 Cnc,
39191,65714,omega Cnc,
39236,65873,5 Cnc,
39261,65339,53 Cam,
39263,65856,4 Cnc,
39447,66347,7 Cnc,
39567,66664,8 Cnc,
39659,66875,9 Cnc,
39780,67228,mu Cnc,
39874,67483,12 Cnc,
39888B,67402,11B Cnc,
39888A,67402,11A Cnc,
40007,67690,13 Cnc,
40023,67767,psi Cnc,
40167C,68255,zeta 1C Cnc,
40167A,68257,zeta 1A Cnc,
40167B,68256,zeta 2 Cnc,
40240,68351,15 Cnc,
40526,69267,beta Cnc,
40702,71243,alpha Cha,
40843,69897,chi Cnc,
40881,70011,lambda Cnc,
40888,71701,theta Cha,
41037A,71129,epsilon A Car,
41037B,-,epsilon B Car,
41117,70569,20 Cnc,
41163B,70734,21B Cnc,
41163A,70734,21A Cnc,
41319,71030,25 Cnc,
41377,71093,phi 1 Cnc,
41389A,71152,24A Cnc,
41389BC,71153,24BC Cnc,
41400,71250,27 Cnc,
41404B,71150,phi 2B Cnc,
41404A,71151,phi 2A Cnc,
41574,71496,28 Cnc,
41578,71555,29 Cnc,
41816,72041,upsilon 1 Cnc,
41822,72094,theta Cnc,
41904,72359,34 Cnc,
41909,72292,eta Cnc,
41940,72324,upsilon 2 Cnc,
42133,72779,35 Cnc,
42265,73143,36 Cnc,
42353,73316,37 Cnc,
42485,73575,38 Cnc,
42516,73665,39 Cnc,
42523,73666,40 Cnc,
42556,73731,epsilon Cnc,
42578,73785,42 Cnc,
42637,75416,eta Cha,
42795,74228,45 Cnc,
42806,74198,gamma Cnc,
42911,74442,delta Cnc,
42917,74521,49 Cnc,
42954,74485,46 Cnc,
43100,74738,iota B Cnc,
43103,74739,iota A Cnc,
43121,74873,50 Cnc,
43454,75528,54 Cnc,
43463,75558,52 Cnc,
43575,75716,53 Cnc,
43584,75698,sigma 1 Cnc,
43587,75732,rho 1 Cnc,
43721B,75959,57B Cnc,
43721A,75959,57A Cnc,
43834,76219,rho 2 Cnc,
43851,76351,60 Cnc,
43932,76398,sigma 2 Cnc,
43937,77002,beta 1 Car,
43970,76543,omicron 1 Cnc,
44001,76582,omicron 2 Cnc,
44031,76572,61 Cnc,
44066,76756,alpha Cnc,
44143,77370,beta 2 Car,
44154,76813,sigma 3 Cnc,
44307A,77104,sigma 4A Cnc,
44307B,77104,sigma 4B Cnc,
44336,77230,68 Cnc,
44342,77190,67 Cnc,
44405,77350,nu Cnc,
44512,77557,70 Cnc,
44637,77892,71 Cnc,
44798,78316,kappa Cnc,
44818,78235,tau Cnc,
44892,78418,75 Cnc,
44918,78479,78 Cnc,
44946,78515,xi Cnc,
45033,78715,79 Cnc,
45153,79009,80 Cnc,
45170,79096,81 Cnc,
45238,80007,beta Car,
45410,79554,pi Cnc,
45496,80230,gamma Car,
45556,80404,iota Car,
45699,80218,83 Cnc,
45856,81101,kappa Car,
46107,82554,iota Cha,
46515,82150,epsilon Ant,
46657B,82383,zeta 1B Ant,
46657A,82384,zeta 1A Ant,
46734,82513,zeta 2 Ant,
46928,83979,zeta Cha,
47758,84367,theta Ant,
47956,85396,nu Cha,
48002A,85123,upsilon A Car,
48002B,85124,upsilon B Car,
48926,86629,eta Ant,
49065,87971,mu 1 Cha,
49326,88351,mu 2 Cha,
50099,89080,omega Car,
51172,90610,alpha Ant,
51376B,-,delta B Ant,
51376A,90972,delta A Ant,
51839,92305,gamma Cha,
52419,93030,theta Car,
--,93308,eta Car,
52595A,93779,delta 1A Cha,
52595B,-,delta 1B Cha,
52633,93845,delta 2 Cha,
53502,94890,iota Ant,
53740,95272,alpha Crt,
54682,97277,beta Crt,
54742,97411,psi Crt,
55282,98430,delta Crt,
55425A,98718,pi A Cen,
55425B,98718,pi B Cen,
55598,98991,lambda Crt,
55687,99167,epsilon Crt,
55705,99211,gamma Crt,
55874,99564,kappa Crt,
56243,100261,omicron 1 Cen,
56250,100262,omicron 2 Cen,
56561,100841,lambda Cen,
56633,100889,theta Crt,
56675,101132,pi Cha,
56802,101198,iota Crt,
57283A,102070,zeta A Crt,
57283B,-,zeta B Crt,
58188,103632,eta Crt,
58484B,104174,epsilon B Cha,
58484A,104174,epsilon A Cha,
58661,104452,1 Com,
58758,104671,theta 1 Cru,
58858B,104827,2B Com,
58858A,104827,2A Com,
58867,104841,theta 2 Cru,
58905,104902,kappa Cha,
59072,105211,eta Cru,
59196,105435,delta Cen,
59199,105452,alpha Crv,
59316,105707,epsilon Crv,
59352,105778,3 Com,
59394,105850,3 Crv,
59449,105937,rho Cen,
59468,105981,4 Com,
59501,106057,5 Com,
59747,106490,delta Cru,
59803,106625,gamma Crv,
59819,106661,6 Com,
59827,106690,2 CVn,
59847,106714,7 Com,
60000,106911,beta Cha,
60009,106983,zeta Cru,
60087,107168,8 Com,
60098,107213,9 Com,
60122,107274,3 CVn,
60123,107276,10 Com,
60189,107348,zeta Crv,
60202,107383,11 Com,
60260,107446,epsilon Cru,
60351,107700,12 Com,
60425,107815,6 Crv,
60467,107904,4 CVn,
60485,107950,5 CVn,
60514,107966,13 Com,
60646,108225,6 CVn,
60697,108283,14 Com,
-,108250,alpha C Cru,
60718A,108248,alpha 1 Cru,
60718B,108249,alpha 2 Cru,
60742,108381,gamma Com,
60746,108382,16 Com,
60823,108483,sigma Cen,
60855,108541,upsilon Cen,
60891,108651,17BC Com,
60904,108662,17A Com,
60941,108722,18 Com,
60957,108765,20 Com,
60965,108767,delta Crv,
60988,108845,7 CVn,
61071,108945,21 Com,
61084,108903,gamma A Cru,
-,108925,gamma B Cru,
61174,109085,eta Crv,
61295,109307,22 Com,
61317,109358,beta CVn,
61359,109379,beta Crv,
61394B,109485,23BCom,
61394A,109485,23A Com,
61415,109510,24B Com,
61418,109511,24A Com,
61571,109742,25 Com,
61622,109787,tau Cen,
61692,109980,9 CVn,
61724,110024,26 Com,
61932B,110304,gamma B Cen,
61932A,110304,gamma A Cen,
62207,110897,10 CVn,
62268,110829,iota Cru,
62356,111067,27 Com,
62434,111123,beta Cru,
62478,111308,28 Com,
62516,111421,11 CVn,
62541,111397,29 Com,
62576,111469,30 Com,
62763,111812,31 Com,
62807,111862,32 Com,
62819,111892,33 Com,
62886A,112033,35A Com,
62886B,112033,35B Com,
62931,111973,kappa Cru,
63003,112092,mu 1 Cru,
63005,112091,mu 2 Cru,
63007,112078,lambda Cru,
63121,112412,alpha 1 CVn,
63125,112413,alpha 2 CVn,
63355,112769,36 Com,
63462A,112989,37A Com,
63462C,-,37C Com,
63533,113095,38 Com,
63724,113314,xi 1 Cen,
63901,113797,14 CVn,
63948B,113848,39B Com,
63948A,113848,39A Com,
63950,113866,40 Com,
64004,113791,xi 2 Cen,
64022,113996,41 Com,
64217,114376,15 CVn,
64241,114378,alpha A Com,
--,114379,alpha B Com,
64244,114427,16 CVn,
64246,114447,17 CVn,
64355,114674,18 CVn,
64394,114710,beta Com,
64692A,115271,19A CVn,
64692B,-,19B CVn,
64844,115604,20 CVn,
64906,115735,21 CVn,
65072,116010,23 CVn,
65109,115892,iota Cen,
66234,118232,24 CVn,
66458A,118623,25A CVn,
66458B,118623,25B CVn,
66657,118716,epsilon Cen,
66727A,119055,1A Boo,
66727B,-,1B Boo,
66763,119126,2 Boo,
67153,119756,1 Cen,
67239,120064,3 Boo,
67275,120136,tau Boo,
67457,120323,2 Cen,
67459,120477,upsilon Boo,
67464,120307,nu Cen,
67472,120324,mu Cen,
67480,120539,6 Boo,
67669A,120709,3A Cen,
67669B,120710,3B Cen,
67786B,-,4B Cen,
67786A,120955,4A Cen,
67787,121107,7 Boo,
67927,121370,eta Boo,
68002,121263,zeta Cen,
68103,121710,9 Boo,
68245,121743,phi Cen,
68276,121996,10 Boo,
68282,121790,upsilon 1 Cen,
68478,122405,11 Boo,
68523,122223,upsilon 2 Cen,
68702B,122451,beta B Cen,
68702A,122451,beta A Cen,
68815,122250,theta Aps,
68862,122980,chi Cen,
68933,123139,theta Cen,
69068,123782,13 Boo,
69226,123999,12 Boo,
69481,124674,kappa 1 Boo,
69483,124675,kappa 2 Boo,
69536,124570,14 Boo,
69612A,124679,15A Boo,
69612B,124679,15B Boo,
69673B,124897,alpha B Boo,
69713,125161,iota Boo,
69732,125162,lambda Boo,
69896,123998,eta Aps,
69989,125451,18 Boo,
70027,125560,20 Boo,
70090,125473,psi Cen,
70248,124771,epsilon Aps,
70497,126660,theta Boo,
70602,126661,22 Boo,
70791,127243,24 Boo,
70890,----,alpha C Cen,
71053,127665,rho Boo,
71075,127762,gamma Boo,
71115,127739,26 Boo,
71284,128167,sigma Boo,
71352,127972,eta Cen,
71618,129002,33 Boo,
71681,128621,alpha 2 Cen,
71683,128620,alpha 1 Cen,
71762A,129174,pi 1 Boo,
71762B,129175,pi 2 Boo,
71795A,129247,zeta A Boo,
71795B,129246,zeta B Boo,
71832,129312,31 Boo,
71837,129336,32 Boo,
71908,128898,alpha Cir,
71995,129712,34 Boo,
72105A,129989,epsilon A Boo,
72105B,129988,epsilon B Boo,
72125,129972,omicron Boo,
72370,129078,alpha Aps,
72487,130945,38 Boo,
72524A,131041,39A Boo,
72524B,131041,39B Boo,
72659A,131156,xi A Boo,
72659B,131156,xi B Boo,
72965,131058,zeta Cir,
73129,131492,theta Cir,
73334A,132200,kappa A Cen,
73334C,-,kappa C Cen,
73369,132772,40 Boo,
69673A,124897,alpha A Boo,
73555,133208,beta Boo,
73568,133124,omega Boo,
73745,133582,psi Boo,
73776,132905,eta Cir,
73841,133962,47 Boo,
73996,134083,45 Boo,
74087,134320,46 Boo,
74596,135502,chi Boo,
74666,135722,delta Boo,
74778,135240,delta Cir,
74824,135379,beta Cir,
74837,135291,epsilon Cir,
75049,136512,omicron CrB,
75178,136849,50 Boo,
75312A,137107,eta A CrB,
75312B,137108,eta B CrB,
75323A,136415,gamma A Cir,
75323B,136416,gamma B Cir,
75411,137391,mu 1 Boo,
75415B,137392,mu 2B Boo,
75415C,-,mu 2C Boo,
75695,137909,beta CrB,
75973,138481,nu 1 Boo,
76013,137387,kappa 1 Aps,
76041,138629,nu 2 Boo,
76127A,138749,theta A CrB,
76267,139006,alpha CrB,
76307,139153,mu CrB,
76534,139641,phi Boo,
76669B,139891,zeta 1 CrB,
76669A,139892,zeta 2 CrB,
76750,138800,kappa 2 Aps,
76952A,140436,gamma A CrB,
76952B,140436,gamma B CrB,
77048,140716,pi CrB,
77512,141714,delta CrB,
77655,142091,kappa CrB,
78012,142908,lambda CrB,
78159,143107,epsilon CrB,
78459,143761,rho CrB,
78493,143807,iota CrB,
79119,145328,tau CrB,
79607B,146362,sigma B CrB,
79607A,146361,sigma A CrB,
79757,146738,upsilon CrB,
80047,145366,delta 1 Aps,
80057,145388,delta 2 Aps,
80181,147677,xi CrB,
80197,147749,nu 1 CrB,
80214,147767,nu 2 CrB,
81065,147675,gamma Aps,
81852,149324,beta Aps,
82363,151249,eta Ara,
83081,152786,zeta Ara,
83153,152980,epsilon 1 Ara,
83431,153580,epsilon 2 Ara,
84969,156277,zeta Aps,
84979B,156190,iota B Aps,
84979A,156190,iota A Aps,
85079,157042,iota Ara,
85258,157244,beta Ara,
85267,157246,gamma Ara,
85312,157457,kappa Ara,
85727,158094,delta Ara,
85792,158427,alpha Ara,
86092,159217,sigma Ara,
86305,159492,pi Ara,
86486,160032,lambda Ara,
86796,160691,mu Ara,
88714,165024,theta Ara,
90969,170867,kappa 2 CrA,
90968,170868,kappa 1 CrA,
90982,170845,theta CrA,
91875,172777,lambda CrA,
91975,173370,4 Aql,
92117,173654,5A Aql,
92118,173654,5B Aql,
92226,173540,mu CrA,
92308,173715,eta 1 CrA,
92382,173861,eta 2 CrA,
92501,174532,7 Aql,
92524,174589,8 Aql,
93174,175813,epsilon CrA,
93179,176232,10 Aql,
93203,176303,11 Aql,
93244,176411,epsilon Aql,
93429,176678,12 Aql,
93526,176984,14 Aql,
93542,176638,zeta CrA,
93716,177442,15B Aql,
93717,177463,15A Aql,
93747,177724,zeta Aql,
93805,177756,lambda Aql,
93825A,177474,gamma A CrA,
93825B,177475,gamma B CrA,
93867A,178125,18A Aql,
93867B,-,18B Aql,
94005,177873,delta CrA,
94068,178596,19 Aql,
94114,178253,alpha CrA,
94160,178345,beta CrA,
94385,179406,20 Aql,
94477,179761,21 Aql,
94727,180482,22 Aql,
94779,181276,kappa Cyg,
94834,180868,omega 1 Aql,
94885A,180972,23A Aql,
94885B,180972,23B Aql,
94913,181053,24 Aql,
94982,181333,28 Aql,
95002,181383,omega 2 Aql,
95066,181391,26 Aql,
95073,181440,27 Aql,
95372,182568,2 Cyg,
95447,182572,31 Aql,
95501,182640,delta Aql,
95556,183056,4 Cyg,
95585,182835,nu Aql,
95656,183534,7 Cyg,
95793,183324,35 Aql,
95853,184006,iota Cyg,
